time,open,high,low,close,tick_volume,spread,real_volume
1613500200,1.21088,1.21146,1.21062,1.21117,969,1,0
1613501100,1.21118,1.2112,1.21051,1.2107,831,1,0
1613502000,1.2107,1.21091,1.21037,1.21067,876,1,0
1613502900,1.21067,1.21083,1.21042,1.2107999999999999,699,1,0
1613503800,1.2107999999999999,1.21097,1.21054,1.21064,661,1,0
1613504700,1.21062,1.21092,1.21056,1.21089,534,1,0
1613505600,1.21089,1.21119,1.21084,1.21116,344,1,0
1613506500,1.21116,1.21129,1.21105,1.21111,282,1,0
1613507400,1.21111,1.21124,1.211,1.21124,226,1,0
1613508300,1.21124,1.21156,1.21115,1.21125,315,1,0
1613509200,1.21123,1.21126,1.21106,1.21107,254,1,0
1613510100,1.21106,1.21144,1.21096,1.2114,294,1,0
1613511000,1.2114,1.21147,1.21129,1.21132,215,1,0
1613511900,1.21133,1.21159,1.21126,1.21154,376,1,0
1613512800,1.21155,1.2116500000000001,1.21135,1.2114099999999999,377,1,0
1613513700,1.21142,1.21168,1.21134,1.21164,285,1,0
1613514600,1.21163,1.21166,1.21142,1.21159,297,1,0
1613515500,1.21158,1.21179,1.21107,1.21115,528,1,0
1613516400,1.21115,1.21123,1.21093,1.21093,316,1,0
1613517300,1.21093,1.21095,1.21059,1.21059,377,1,0
1613518200,1.2106,1.21068,1.21052,1.21057,141,1,0
1613519100,1.21056,1.21067,1.21034,1.2105299999999999,290,1,0
1613520000,1.21047,1.21089,1.2104,1.21059,126,3,0
1613520900,1.21059,1.21062,1.21014,1.21049,108,1,0
1613521800,1.21049,1.2105299999999999,1.21007,1.2103,176,9,0
1613522700,1.21031,1.21039,1.21011,1.21023,235,3,0
1613523600,1.21023,1.21036,1.2086000000000001,1.20865,1188,1,0
1613524500,1.20864,1.20981,1.20862,1.20916,968,1,0
1613525400,1.20916,1.20972,1.20909,1.20954,622,1,0
1613526300,1.20955,1.20984,1.20882,1.20884,694,1,0
1613527200,1.20883,1.2093099999999999,1.20867,1.20905,837,1,0
1613528100,1.20906,1.2092,1.20877,1.20912,671,1,0
1613529000,1.20912,1.2094,1.20866,1.20882,781,1,0
1613529900,1.20883,1.20903,1.20864,1.2088700000000001,863,1,0
1613530800,1.20888,1.20902,1.20832,1.20886,774,1,0
1613531700,1.20886,1.20909,1.20871,1.20879,513,1,0
1613532600,1.20878,1.20927,1.20872,1.20926,541,1,0
1613533500,1.20926,1.20951,1.20904,1.20928,414,1,0
1613534400,1.20929,1.20959,1.20907,1.20928,570,1,0
